City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khandyga,62.6667,135.6,3.52,90,99,0.89,RU,1685039817
1,amga,60.8953,131.9608,2.36,88,43,0.72,RU,1685039817
2,saldanha,-33.0117,17.9442,12.03,66,7,6.7,ZA,1685039818
3,grytviken,-54.2811,-36.5092,0.23,91,95,1.97,GS,1685039605
4,punta arenas,-53.15,-70.9167,5.06,65,75,4.63,CL,1685039818
5,hawaiian paradise park,19.5933,-154.9731,23.35,92,100,1.54,US,1685039819
6,boyolangu,-8.1181,111.8935,23.08,90,26,0.96,ID,1685039819
7,puerto natales,-51.7236,-72.4875,4.25,81,40,2.57,CL,1685039820
8,yellowknife,62.456,-114.3525,13.29,58,75,3.09,CA,1685039702
9,iqaluit,63.7506,-68.5145,0.85,80,100,4.47,CA,1685039820
10,port-aux-francais,-49.35,70.2167,5.21,99,99,8.87,TF,1685039619
11,salahonda,2.1019,-78.7217,27.49,79,99,4.54,CO,1685039821
12,edinburgh of the seven seas,-37.0676,-12.3116,16.21,89,100,12.29,SH,1685039604
13,whitehorse,60.7161,-135.0538,15.05,49,75,4.47,CA,1685039498
14,malpica,43.3228,-8.8105,20.09,65,0,9.01,ES,1685039822
15,adamstown,-25.066,-130.1015,23.22,71,44,2.65,PN,1685039607
16,isafjordur,66.0755,-23.124,7.02,61,75,3.09,IS,1685039823
17,sisimiut,66.9395,-53.6735,0.52,82,91,3.5,GL,1685039824
18,olonkinbyen,70.9221,-8.7187,-1.23,67,47,10.67,SJ,1685039824
19,badger,64.8,-147.5333,17.14,48,20,2.06,US,1685039824
20,sao gabriel da cachoeira,-0.1303,-67.0892,25.89,94,75,2.57,BR,1685039825
21,xilin hot,43.9667,116.0333,10.39,41,0,2.56,CN,1685039825
22,uturoa,-16.7333,-151.4333,27.24,73,30,5.5,PF,1685039826
23,waitangi,-43.9535,-176.5597,12.12,86,6,2.68,NZ,1685039826
24,west island,-12.1568,96.8225,26.99,78,75,6.17,CC,1685039608
25,hermanus,-34.4187,19.2345,9.33,75,33,7.95,ZA,1685039827
26,bredasdorp,-34.5322,20.0403,10.43,86,98,5.07,ZA,1685039333
27,ilulissat,69.2167,-51.1,3.01,52,0,2.57,GL,1685039612
28,qacha's nek,-30.1154,28.6894,15.22,39,12,9.9,LS,1685039829
29,trashi yangtse,27.6116,91.498,14.85,97,100,0.06,BT,1685039829
30,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,40,2.0,RU,1685039830
31,bilibino,68.0546,166.4372,4.71,67,100,1.28,RU,1685039627
32,tura,25.5198,90.2201,21.39,96,100,1.85,IN,1685039830
33,stepnoye,51.4,46.8667,20.67,46,100,2.19,RU,1685039831
34,khash,28.2211,61.2158,25.25,15,6,2.66,IR,1685039831
35,suntar,62.1444,117.6319,3.44,75,60,2.35,RU,1685039832
36,contamana,-7.3333,-75.0167,29.49,67,99,1.72,PE,1685039832
37,montecristi,-1.05,-80.6667,28.9,74,75,4.12,EC,1685039833
38,kuching,1.55,110.3333,27.23,77,20,1.03,MY,1685039833
39,margaret river,-33.95,115.0667,8.53,77,0,3.61,AU,1685039834
40,port mathurin,-19.6833,63.4167,25.48,75,6,4.9,MU,1685039834
41,ushuaia,-54.8,-68.3,4.79,75,40,8.23,AR,1685039616
42,quchan,37.106,58.5095,19.55,28,7,4.39,IR,1685039835
43,port alfred,-33.5906,26.891,17.32,94,75,1.34,ZA,1685039835
44,blackmans bay,-43.0167,147.3167,6.07,77,96,4.77,AU,1685039623
45,jamestown,42.097,-79.2353,16.96,45,0,5.14,US,1685039836
46,porto novo,6.4965,2.6036,28.9,82,42,2.79,BJ,1685039837
47,hotan,37.0997,79.9269,19.33,38,100,2.83,CN,1685039837
48,tolanaro,-25.0319,46.9987,19.04,88,75,4.63,MG,1685039838
49,papatowai,-46.5619,169.4708,12.95,67,100,5.06,NZ,1685039838
50,anadyr,64.75,177.4833,0.28,100,75,3.0,RU,1685039839
51,revda,56.801,59.9303,15.95,58,14,0.68,RU,1685039839
52,al bardiyah,31.7561,25.0865,19.93,80,100,8.46,LY,1685039840
53,kuraymah,18.55,31.85,37.3,12,0,4.39,SD,1685039840
54,volchikha,52.0333,80.3833,13.62,40,100,5.26,RU,1685039840
55,aykhal,66.0,111.5,-2.26,91,100,2.05,RU,1685039841
56,albany,42.6001,-73.9662,18.29,45,6,2.24,US,1685039401
57,clarksville,36.5298,-87.3595,28.39,50,0,4.63,US,1685039375
58,deschutes river woods,43.9915,-121.3584,20.52,38,0,3.6,US,1685039842
59,lebu,-37.6167,-73.65,13.29,82,50,7.39,CL,1685039843
60,ribeira grande,38.5167,-28.7,18.22,82,75,3.09,PT,1685039624
61,rio grande,-32.035,-52.0986,31.06,69,0,3.63,BR,1685039553
62,kourou,5.1552,-52.6478,24.03,82,100,4.2,GF,1685039844
63,kingston,17.997,-76.7936,31.25,68,20,4.47,JM,1685039825
64,markovo,57.3206,107.0881,-0.22,99,53,1.89,RU,1685039845
65,stanley,54.868,-1.6985,16.27,66,20,2.06,GB,1685039400
66,tiksi,71.6872,128.8694,-3.92,87,100,3.82,RU,1685039615
67,georgetown,5.4112,100.3354,27.97,78,20,1.54,MY,1685039577
68,spasskoye,44.6108,132.7969,13.2,56,100,3.61,RU,1685039846
69,lautoka,-17.6167,177.4667,20.92,88,75,2.06,FJ,1685039847
70,malvan,16.0667,73.4667,28.54,75,13,3.15,IN,1685039847
71,luderitz,-26.6481,15.1594,12.67,88,0,3.52,NA,1685039847
72,saudarkrokur,65.7461,-19.6394,7.25,53,72,8.64,IS,1685039848
73,gray,35.4167,-100.802,23.89,65,100,6.24,US,1685039848
74,longyearbyen,78.2186,15.6401,1.91,80,75,6.17,SJ,1685039848
75,yacimiento rio turbio,-51.5732,-72.3508,0.66,81,40,2.57,AR,1685039849
76,okha,53.5739,142.9478,1.44,93,99,2.6,RU,1685039849
77,wynyard,-41.0,145.7167,4.99,86,76,4.82,AU,1685039850
78,grand falls-windsor,48.9332,-55.6649,9.17,81,100,2.68,CA,1685039850
79,korkuteli,37.065,30.1957,14.7,78,21,0.62,TR,1685039851
80,mitu,1.1983,-70.1733,27.49,89,98,1.1,CO,1685039851
81,talnakh,69.4865,88.3972,1.23,97,100,3.12,RU,1685039851
82,wailua homesteads,22.0669,-159.378,23.75,80,75,7.2,US,1685039617
83,college,64.8569,-147.8028,17.18,47,20,2.06,US,1685039852
84,ayr,55.4627,-4.6339,17.74,63,3,3.6,GB,1685039853
85,bethel,41.3712,-73.414,20.11,48,0,4.63,US,1685039847
86,constitucion,-35.3333,-72.4167,14.45,61,89,1.81,CL,1685039572
87,avarua,-21.2078,-159.775,26.03,83,24,5.14,CK,1685039854
88,sarria,42.7815,-7.4143,16.29,60,0,5.06,ES,1685039697
89,enewetak,11.3474,162.3373,27.69,79,88,5.88,MH,1685039855
90,rimouski,48.4488,-68.524,5.1,87,100,6.11,CA,1685039359
91,laojunmiao,39.8333,97.7333,12.1,23,77,2.97,CN,1685039856
92,thompson,55.7435,-97.8558,11.09,100,100,1.03,CA,1685039856
93,el granada,37.5027,-122.4694,20.48,71,100,4.63,US,1685039857
94,nabire,-3.3667,135.4833,24.66,91,100,1.93,ID,1685039857
95,fale old settlement,-9.3852,-171.2468,28.24,76,21,5.6,TK,1685039858
96,vorgashor,67.5833,63.95,12.72,77,86,4.61,RU,1685039858
97,remire-montjoly,4.9167,-52.2667,26.02,89,75,1.54,GF,1685039611
98,poso,-1.3959,120.7524,25.35,81,100,2.15,ID,1685039859
99,suya,9.4667,3.1833,23.43,88,100,3.04,NG,1685039860
100,hammerfest,70.6634,23.6821,7.25,49,20,11.32,NO,1685039865
101,sitia,35.2,26.0986,21.1,75,5,1.75,GR,1685039866
102,namibe,-15.1961,12.1522,20.78,72,0,5.86,AO,1685039866
103,peace river,56.2501,-117.286,18.17,67,75,1.54,CA,1685039852
104,portland,45.5234,-122.6762,24.01,55,20,2.57,US,1685039201
105,port elizabeth,-33.918,25.5701,16.16,86,75,11.83,ZA,1685039603
106,kone,-21.0595,164.8658,16.48,75,0,1.67,NC,1685039868
107,akureyri,65.6835,-18.0878,10.96,40,75,4.12,IS,1685039868
108,puerto colombia,10.9878,-74.9547,28.05,75,49,3.69,CO,1685039868
109,pitalito,1.8497,-76.0479,21.42,92,97,1.41,CO,1685039869
110,oranjemund,-28.55,16.4333,12.76,83,0,2.01,NA,1685039869
111,la ronge,55.1001,-105.2842,15.12,72,100,3.09,CA,1685039870
112,carutapera,-1.195,-46.02,28.54,74,95,4.23,BR,1685039870
113,shizuishan,39.2333,106.7694,18.21,17,100,2.54,CN,1685039871
114,atafu village,-8.5421,-172.5159,28.11,75,80,4.05,TK,1685039871
115,erenhot,43.6475,111.9767,13.97,29,92,0.66,CN,1685039871
116,nantucket,41.2835,-70.0995,17.08,69,20,7.2,US,1685039627
117,utrik,11.2278,169.8474,27.77,78,100,9.21,MH,1685039872
118,iskateley,67.6803,53.1512,17.86,79,92,9.02,RU,1685039873
119,rawson,-43.3002,-65.1023,18.57,26,0,11.86,AR,1685039873
120,st. paul,44.9444,-93.0933,23.85,40,0,5.66,US,1685039729
121,st. john's,47.5649,-52.7093,9.88,69,100,4.12,CA,1685039408
122,shizunai-furukawacho,42.3339,142.3669,11.31,75,1,2.81,JP,1685039874
123,la'ie,21.6477,-157.9253,24.66,78,59,4.47,US,1685039874
124,acapulco de juarez,16.8634,-99.8901,31.9,66,20,2.57,MX,1685039875
125,wabag,-5.4781,143.7021,13.07,99,100,0.72,PG,1685039875
126,nova vicosa,-17.8919,-39.3719,24.31,80,21,5.21,BR,1685039861
127,colby,39.3958,-101.0524,16.03,94,100,7.72,US,1685039620
128,saint-pierre,-21.3393,55.4781,21.98,73,100,3.6,RE,1685039876
129,svetlyy,54.675,20.1347,12.03,85,100,3.69,RU,1685039877
130,ceeldheer,3.8488,47.1806,27.3,73,19,6.4,SO,1685039878
131,madang,-5.2246,145.7966,23.23,91,100,1.66,PG,1685039878
132,port macquarie,-31.4333,152.9167,12.16,43,100,2.4,AU,1685039879
133,palapye,-22.546,27.1251,20.4,35,4,2.25,BW,1685039879
134,brookings,44.3114,-96.7984,27.47,52,0,8.75,US,1685039599
135,nha trang,12.25,109.1833,26.0,84,100,2.1,VN,1685039369
136,lata,40.1629,-8.3327,23.84,59,8,2.73,PT,1685039881
137,nar'yan-mar,67.6713,53.087,17.93,79,96,8.99,RU,1685039881
138,bereznik,62.8551,42.7072,15.35,94,100,2.2,RU,1685039881
139,chinde,26.8418,88.0763,15.92,88,100,1.12,NP,1685039618
140,pineto,42.6097,14.066,21.03,74,6,2.37,IT,1685039882
141,tazovsky,67.4667,78.7,2.91,88,100,4.51,RU,1685039475
142,port douglas,-16.4833,145.4667,21.47,84,100,3.65,AU,1685039883
143,keflavik,64.0049,-22.5624,9.24,71,75,10.8,IS,1685039884
144,itanhaem,-24.1831,-46.7889,23.36,78,3,2.22,BR,1685039884
145,brisas de zicatela,15.8369,-97.0419,33.29,66,40,5.14,MX,1685039884
146,susuman,62.7833,148.1667,2.6,67,11,0.94,RU,1685039885
147,kristiansund,63.1115,7.732,7.36,81,75,8.75,NO,1685039885
148,saipan,15.1355,145.701,27.58,100,75,7.72,MP,1685039620
149,isiro,2.7739,27.616,19.54,94,54,0.75,CD,1685039886
150,cabo san lucas,22.8909,-109.9124,32.61,37,40,2.57,MX,1685039731
151,buala,-8.145,159.5921,25.25,92,100,4.55,SB,1685039887
152,ad dabbah,18.05,30.95,37.62,11,26,4.61,SD,1685039888
153,dryden,49.7833,-92.7503,21.16,30,0,4.63,CA,1685039888
154,afaahiti,-17.75,-149.2833,25.93,75,53,4.47,PF,1685039608
155,antsiranana,-12.2787,49.2917,22.78,91,3,1.48,MG,1685039889
156,gaffney,35.0718,-81.6498,26.42,34,72,4.54,US,1685039889
157,nemuro,43.3236,145.575,9.13,79,3,2.49,JP,1685039890
158,gospic,44.5461,15.3747,18.83,91,2,2.49,HR,1685039890
159,invercargill,-46.4,168.35,13.79,67,100,5.92,NZ,1685039891
160,santa vitoria do palmar,-33.5189,-53.3681,25.06,55,49,3.24,BR,1685039891
161,taitung city,22.7583,121.1444,25.18,91,100,1.36,TW,1685039892
162,chandler,33.3062,-111.8412,34.77,12,0,4.12,US,1685039661
163,lamu,-2.2717,40.902,26.12,79,52,5.32,KE,1685039892
164,nikol'sk,53.7189,46.0712,18.66,70,100,4.97,RU,1685039894
165,riosucio,5.4216,-75.7032,22.03,77,96,0.75,CO,1685039645
166,jorpeland,59.0225,6.0408,10.78,79,100,7.89,NO,1685039894
167,hailun,47.45,126.9333,13.66,81,100,7.9,CN,1685039895
168,ramstein-miesenbach,49.45,7.55,19.98,40,0,3.6,DE,1685039707
169,enriquillo,17.9,-71.2333,30.82,62,1,3.84,DO,1685039896
170,holly springs,35.6513,-78.8336,23.75,64,95,3.13,US,1685039795
171,vilyuchinsk,52.9306,158.4028,6.15,90,98,3.11,RU,1685039897
172,boali,4.8005,18.1275,23.64,89,100,1.41,CF,1685039897
173,palikir - national government center,6.9248,158.1611,26.41,89,75,2.57,FM,1685039897
174,ust-nera,64.5667,143.2,1.08,76,19,2.12,RU,1685039898
175,kunyang,27.6658,120.5658,18.7,87,100,0.96,CN,1685039898
176,ust-tsilma,65.441,52.1498,18.8,70,12,4.95,RU,1685039899
177,patong,7.8961,98.2966,31.68,99,100,5.39,TH,1685039900
178,nouadhibou,20.931,-17.0347,19.99,88,75,5.66,MR,1685039900
179,princeville,45.7668,-61.2985,7.09,95,100,3.13,CA,1685039883
180,al kharijah,25.4514,30.5464,32.03,11,25,4.7,EG,1685039901
181,ilabaya,-17.4208,-70.5133,22.78,41,26,3.8,PE,1685039901
182,yatou,37.15,122.3833,14.2,94,25,2.84,CN,1685039907
183,kodiak,57.79,-152.4072,6.73,70,40,0.0,US,1685039907
184,sinabang,2.4803,96.3801,26.64,83,98,1.37,ID,1685039908
185,cooper's town,26.8667,-77.5167,26.12,73,0,3.18,BS,1685039908
186,gwadar,25.1216,62.3254,29.91,78,7,5.73,PK,1685039908
187,strezhevoy,60.7333,77.5889,7.73,49,14,2.52,RU,1685039909
188,island harbour,50.724,-1.2758,18.04,78,63,1.34,GB,1685039909
189,bandundu,-3.3167,17.3667,26.52,74,75,1.42,CD,1685039910
